date,symbol,volume,volume_ma_30,close
2023-07-27,BNB-USD,433186880.0,502389419.23333335,240.4987945556641
2023-07-28,BNB-USD,388148322.0,499298618.76666665,241.9770355224609
2023-07-29,BNB-USD,317500344.0,498803857.96666664,242.5763702392578
2023-07-30,BNB-USD,425584373.0,492094243.06666666,242.52598571777344
2023-07-31,BNB-USD,1092564922.0,508387896.3666667,241.1206512451172
2023-08-01,BNB-USD,830645013.0,518759686.43333334,247.5050201416016
2023-08-02,BNB-USD,650256385.0,518102827.6666667,240.49464416503903
2023-08-03,BNB-USD,400525696.0,516800629.7,241.0615234375
2023-08-04,BNB-USD,370373499.0,513963039.3666667,241.4760131835937
2023-08-05,BNB-USD,300760369.0,506117229.3,242.9593505859375
2023-08-06,BNB-USD,417704185.0,506093473.3333333,242.7985992431641
2023-08-07,BNB-USD,425652309.0,509638525.43333334,241.7975006103516
2023-08-08,BNB-USD,504987528.0,516827177.26666665,245.14990234375
2023-08-09,BNB-USD,399576464.0,502343338.96666664,243.8936462402344
2023-08-10,BNB-USD,365863690.0,496664516.06666666,241.2624664306641
2023-08-11,BNB-USD,386856576.0,492713430.26666665,239.70689392089844
2023-08-12,BNB-USD,284512149.0,476825469.1666667,240.27362060546875
2023-08-13,BNB-USD,296580783.0,460062542.3333333,240.0333404541016
2023-08-14,BNB-USD,381157536.0,458675547.93333334,240.33924865722656
2023-08-15,BNB-USD,482870297.0,460054981.73333335,236.67958068847656
2023-08-16,BNB-USD,461572144.0,453073108.06666666,231.8687438964844
2023-08-17,BNB-USD,786294218.0,454220968.8666667,218.5358428955078
2023-08-18,BNB-USD,567051050.0,456467198.9,216.112548828125
2023-08-19,BNB-USD,477267428.0,456208155.06666666,216.9994506835937
2023-08-20,BNB-USD,297744717.0,452365799.03333336,216.63580322265625
2023-08-21,BNB-USD,582113967.0,461431969.56666666,210.63894653320312
2023-08-22,BNB-USD,637832641.0,473373029.3666667,210.8343505859375
2023-08-23,BNB-USD,566160608.0,477181500.56666666,216.3992919921875
2023-08-24,BNB-USD,394620698.0,478118206.2,218.6463928222656
2023-08-25,BNB-USD,423891092.0,478328529.43333334,218.3310546875
2023-08-26,BNB-USD,273738258.0,473013575.3666667,216.3642425537109
2023-08-27,BNB-USD,325410553.0,470922316.4,218.3580017089844
2023-08-28,BNB-USD,332786869.0,471431867.23333335,218.71856689453125
2023-08-29,BNB-USD,593296661.0,477022276.8333333,226.8628845214844
2023-08-30,BNB-USD,359750612.0,452595133.1666667,223.7994384765625
2023-08-31,BNB-USD,428616639.0,439194187.3666667,216.5977935791016
2023-09-01,BNB-USD,438229562.0,432126626.6,213.63055419921875
2023-09-02,BNB-USD,291979876.0,428508432.6,214.44854736328125
2023-09-03,BNB-USD,264565518.0,424981499.9,214.3999481201172
2023-09-04,BNB-USD,364530693.0,427107177.3666667,215.197509765625
2023-09-05,BNB-USD,298056096.0,423118907.73333335,214.47813415527344
2023-09-06,BNB-USD,367874698.0,421192987.3666667,215.13465881347656
2023-09-07,BNB-USD,414939879.0,418191399.06666666,216.88717651367188
2023-09-08,BNB-USD,350437594.0,416553436.73333335,214.56202697753903
2023-09-09,BNB-USD,218159197.0,411629953.6333333,214.2229461669922
2023-09-10,BNB-USD,334977578.0,409900653.7,212.31802368164065
2023-09-11,BNB-USD,466832593.0,415978001.8333333,206.03421020507807
2023-09-12,BNB-USD,435525863.0,420609504.5,210.994369506836
2023-09-13,BNB-USD,329580406.0,418890266.8333333,212.64259338378903
2023-09-14,BNB-USD,370840987.0,415155956.5,212.2828369140625
2023-09-15,BNB-USD,477731080.0,415694587.7,214.175521850586
2023-09-16,BNB-USD,483436741.0,405599338.46666664,214.9605407714844
2023-09-17,BNB-USD,432102186.0,401101043.0,216.4657745361328
2023-09-18,BNB-USD,572231452.0,404266510.46666664,216.00392150878903
2023-09-19,BNB-USD,385547582.0,407193272.6333333,217.21095275878903
2023-09-20,BNB-USD,372917826.0,400220067.93333334,214.3633270263672
2023-09-21,BNB-USD,384479845.0,391774974.73333335,210.7939453125
2023-09-22,BNB-USD,274805031.0,382063122.1666667,211.1508636474609
2023-09-23,BNB-USD,215040995.0,376077132.06666666,210.56060791015625
2023-09-24,BNB-USD,287192497.0,371520512.23333335,208.28289794921875
2023-09-25,BNB-USD,294180845.0,372201931.8,210.0738067626953
2023-09-26,BNB-USD,615780140.0,381880918.03333336,212.37844848632807
2023-09-27,BNB-USD,753741988.0,395912755.3333333,211.98541259765625
2023-09-28,BNB-USD,358321830.0,388080260.96666664,215.07598876953125
2023-09-29,BNB-USD,335321479.0,387265956.53333336,215.2794189453125
2023-09-30,BNB-USD,243788424.0,381105016.03333336,214.82130432128903
2023-10-01,BNB-USD,387408083.0,379410966.73333335,218.0471343994141
2023-10-02,BNB-USD,466879383.0,385240950.3,214.7579345703125
2023-10-03,BNB-USD,305437646.0,386603354.56666666,213.4359436035156
2023-10-04,BNB-USD,357560724.0,386371022.26666665,213.4130859375
