date,symbol,close,lag_1,lag_7,lag_30
2023-10-13,BTC-USD,26862.375,26756.798828125,27946.59765625,26228.32421875
2023-10-14,BTC-USD,26861.70703125,26862.375,27968.83984375,26539.673828125
2023-10-15,BTC-USD,27159.65234375,26861.70703125,27935.08984375,26608.693359375
2023-10-16,BTC-USD,28519.466796875,27159.65234375,27583.677734375,26568.28125
2023-10-17,BTC-USD,28415.748046875,28519.466796875,27391.01953125,26534.1875
2023-10-18,BTC-USD,28328.341796875,28415.748046875,26873.3203125,26754.28125
2023-10-19,BTC-USD,28719.806640625,28328.341796875,26756.798828125,27211.1171875
2023-10-20,BTC-USD,29682.94921875,28719.806640625,26862.375,27132.0078125
2023-10-21,BTC-USD,29918.412109375,29682.94921875,26861.70703125,26567.6328125
2023-10-22,BTC-USD,29993.896484375,29918.412109375,27159.65234375,26579.568359375
2023-10-23,BTC-USD,33086.234375,29993.896484375,28519.466796875,26579.390625
2023-10-24,BTC-USD,33901.52734375,33086.234375,28415.748046875,26256.826171875
2023-10-25,BTC-USD,34502.8203125,33901.52734375,28328.341796875,26298.48046875
2023-10-26,BTC-USD,34156.6484375,34502.8203125,28719.806640625,26217.25
2023-10-27,BTC-USD,33909.80078125,34156.6484375,29682.94921875,26352.716796875
2023-10-28,BTC-USD,34089.57421875,33909.80078125,29918.412109375,27021.546875
2023-10-29,BTC-USD,34538.48046875,34089.57421875,29993.896484375,26911.720703125
2023-10-30,BTC-USD,34502.36328125,34538.48046875,33086.234375,26967.916015625
2023-10-31,BTC-USD,34667.78125,34502.36328125,33901.52734375,27983.75
2023-11-01,BTC-USD,35437.25390625,34667.78125,34502.8203125,27530.78515625
2023-11-02,BTC-USD,34938.2421875,35437.25390625,34156.6484375,27429.978515625
2023-11-03,BTC-USD,34732.32421875,34938.2421875,33909.80078125,27799.39453125
2023-11-04,BTC-USD,35082.1953125,34732.32421875,34089.57421875,27415.912109375
2023-11-05,BTC-USD,35049.35546875,35082.1953125,34538.48046875,27946.59765625
2023-11-06,BTC-USD,35037.37109375,35049.35546875,34502.36328125,27968.83984375
2023-11-07,BTC-USD,35443.5625,35037.37109375,34667.78125,27935.08984375
2023-11-08,BTC-USD,35655.27734375,35443.5625,35437.25390625,27583.677734375
2023-11-09,BTC-USD,36693.125,35655.27734375,34938.2421875,27391.01953125
2023-11-10,BTC-USD,37313.96875,36693.125,34732.32421875,26873.3203125
