date,symbol,close
2024-03-19,BTC-USD,61912.7734375
2024-03-20,BTC-USD,67913.671875
2024-03-21,BTC-USD,65491.390625
2024-03-22,BTC-USD,63778.76171875
2024-03-23,BTC-USD,64062.203125
2024-03-24,BTC-USD,67234.171875
2024-03-25,BTC-USD,69958.8125
2024-03-26,BTC-USD,69987.8359375
2024-03-27,BTC-USD,69455.34375
2024-03-28,BTC-USD,70744.953125
2024-03-29,BTC-USD,69892.828125
2024-03-30,BTC-USD,69645.3046875
2024-03-31,BTC-USD,71333.6484375
2024-04-01,BTC-USD,69702.1484375
2024-04-02,BTC-USD,65446.97265625
2024-04-03,BTC-USD,65980.8125
2024-04-04,BTC-USD,68508.84375
2024-04-05,BTC-USD,67837.640625
2024-04-06,BTC-USD,68896.109375
2024-04-07,BTC-USD,69362.5546875
2024-04-08,BTC-USD,71631.359375
2024-04-09,BTC-USD,69139.015625
2024-04-10,BTC-USD,70587.8828125
2024-04-11,BTC-USD,70060.609375
2024-04-12,BTC-USD,67195.8671875
2024-04-13,BTC-USD,63821.47265625
2024-04-14,BTC-USD,65738.7265625
2024-04-15,BTC-USD,63426.2109375
2024-04-16,BTC-USD,63811.86328125
2024-04-17,BTC-USD,61276.69140625
2024-04-18,BTC-USD,63512.75390625
2024-04-19,BTC-USD,63843.5703125
2024-04-20,BTC-USD,64994.44140625
2024-04-21,BTC-USD,64926.64453125
2024-04-22,BTC-USD,66837.6796875
2024-04-23,BTC-USD,66407.2734375
2024-04-24,BTC-USD,64276.8984375
2024-04-25,BTC-USD,64481.70703125
2024-04-26,BTC-USD,63755.3203125
2024-04-27,BTC-USD,63419.140625
2024-04-28,BTC-USD,63113.23046875
2024-04-29,BTC-USD,63841.12109375
2024-04-30,BTC-USD,60636.85546875
2024-05-01,BTC-USD,58254.01171875
2024-05-02,BTC-USD,59123.43359375
2024-05-03,BTC-USD,62889.8359375
2024-05-04,BTC-USD,63891.47265625
2024-05-05,BTC-USD,64031.1328125
2024-05-06,BTC-USD,63161.94921875
2024-05-07,BTC-USD,62334.81640625
2024-05-08,BTC-USD,61187.94140625
2024-05-09,BTC-USD,63049.9609375
2024-05-10,BTC-USD,60792.77734375
2024-05-11,BTC-USD,60793.7109375
2024-05-12,BTC-USD,61448.39453125
2024-05-13,BTC-USD,62901.44921875
2024-05-14,BTC-USD,61552.7890625
2024-05-15,BTC-USD,66267.4921875
2024-05-16,BTC-USD,65231.58203125
2024-05-17,BTC-USD,67051.875
2024-05-18,BTC-USD,66940.8046875
2024-05-19,BTC-USD,66278.3671875
2024-05-20,BTC-USD,71448.1953125
2024-05-21,BTC-USD,70136.53125
2024-05-22,BTC-USD,69122.3359375
2024-05-23,BTC-USD,67929.5625
2024-05-24,BTC-USD,68526.1015625
2024-05-25,BTC-USD,69265.9453125
2024-05-26,BTC-USD,68518.09375
2024-05-27,BTC-USD,69394.5546875
2024-05-28,BTC-USD,68296.21875
2024-05-29,BTC-USD,67578.09375
2024-05-30,BTC-USD,68364.9921875
2024-05-31,BTC-USD,67491.4140625
2024-06-01,BTC-USD,67706.9375
2024-06-02,BTC-USD,67751.6015625
2024-06-03,BTC-USD,68804.78125
2024-06-04,BTC-USD,70567.765625
2024-06-05,BTC-USD,71082.8203125
2024-06-06,BTC-USD,70757.1640625
2024-06-07,BTC-USD,69342.5859375
2024-06-08,BTC-USD,69305.7734375
2024-06-09,BTC-USD,69647.9921875
2024-06-10,BTC-USD,69512.28125
2024-06-11,BTC-USD,67332.03125
2024-06-12,BTC-USD,68241.1875
2024-06-13,BTC-USD,66756.3984375
2024-06-14,BTC-USD,66011.09375
2024-06-15,BTC-USD,66191.0
2024-06-16,BTC-USD,66639.046875
2024-06-17,BTC-USD,66490.296875
2024-06-18,BTC-USD,65140.74609375
2024-06-19,BTC-USD,64960.296875
2024-06-20,BTC-USD,64828.65625
2024-06-21,BTC-USD,64096.19921875
2024-06-22,BTC-USD,64252.578125
2024-06-23,BTC-USD,63180.796875
2024-06-24,BTC-USD,60277.4140625
2024-06-25,BTC-USD,61804.640625
2024-06-26,BTC-USD,60811.27734375
2024-06-27,BTC-USD,61604.80078125
2024-06-28,BTC-USD,60320.13671875
2024-06-29,BTC-USD,60887.37890625
2024-06-30,BTC-USD,62678.29296875
2024-07-01,BTC-USD,62851.98046875
2024-07-02,BTC-USD,62029.015625
2024-07-03,BTC-USD,60173.921875
2024-07-04,BTC-USD,56977.703125
2024-07-05,BTC-USD,56662.375
2024-07-06,BTC-USD,58303.5390625
2024-07-07,BTC-USD,55849.109375
2024-07-08,BTC-USD,56705.09765625
2024-07-09,BTC-USD,58009.2265625
2024-07-10,BTC-USD,57742.49609375
2024-07-11,BTC-USD,57344.9140625
2024-07-12,BTC-USD,57899.46484375
2024-07-13,BTC-USD,59231.953125
2024-07-14,BTC-USD,60787.79296875
2024-07-15,BTC-USD,64870.15234375
2024-07-16,BTC-USD,65097.1484375
2024-07-17,BTC-USD,64118.79296875
2024-07-18,BTC-USD,63974.06640625
2024-07-19,BTC-USD,66710.15625
2024-07-20,BTC-USD,67163.6484375
2024-07-21,BTC-USD,68154.5234375
2024-07-22,BTC-USD,67585.25
2024-07-23,BTC-USD,65927.671875
2024-07-24,BTC-USD,65372.1328125
2024-07-25,BTC-USD,65777.2265625
2024-07-26,BTC-USD,67912.0625
2024-07-27,BTC-USD,67813.3359375
2024-07-28,BTC-USD,68255.8671875
2024-07-29,BTC-USD,66819.9140625
2024-07-30,BTC-USD,66201.015625
2024-07-31,BTC-USD,64619.25
2024-08-01,BTC-USD,65357.5
2024-08-02,BTC-USD,61415.06640625
2024-08-03,BTC-USD,60680.09375
2024-08-04,BTC-USD,58116.9765625
2024-08-05,BTC-USD,53991.45703125
2024-08-06,BTC-USD,56034.31640625
2024-08-07,BTC-USD,55027.4609375
2024-08-08,BTC-USD,61710.13671875
2024-08-09,BTC-USD,60880.11328125
2024-08-10,BTC-USD,60945.8125
2024-08-11,BTC-USD,58719.484375
2024-08-12,BTC-USD,59354.515625
2024-08-13,BTC-USD,60609.56640625
2024-08-14,BTC-USD,58737.26953125
2024-08-15,BTC-USD,57560.09765625
2024-08-16,BTC-USD,58894.10546875
2024-08-17,BTC-USD,59478.97265625
2024-08-18,BTC-USD,58483.96484375
2024-08-19,BTC-USD,59493.453125
2024-08-20,BTC-USD,59012.79296875
2024-08-21,BTC-USD,61175.19140625
2024-08-22,BTC-USD,60381.9140625
2024-08-23,BTC-USD,64094.35546875
2024-08-24,BTC-USD,64178.9921875
2024-08-25,BTC-USD,64333.54296875
2024-08-26,BTC-USD,62880.66015625
2024-08-27,BTC-USD,59504.1328125
2024-08-28,BTC-USD,59027.625
2024-08-29,BTC-USD,59388.1796875
2024-08-30,BTC-USD,59119.4765625
2024-08-31,BTC-USD,58969.8984375
2024-09-01,BTC-USD,57325.48828125
2024-09-02,BTC-USD,59112.48046875
2024-09-03,BTC-USD,57431.0234375
2024-09-04,BTC-USD,57971.5390625
2024-09-05,BTC-USD,56160.48828125
2024-09-06,BTC-USD,53948.75390625
2024-09-07,BTC-USD,54139.6875
2024-09-08,BTC-USD,54841.56640625
2024-09-09,BTC-USD,57019.53515625
2024-09-10,BTC-USD,57648.7109375
2024-09-11,BTC-USD,57343.171875
2024-09-12,BTC-USD,58127.01171875
2024-09-13,BTC-USD,60571.30078125
2024-09-14,BTC-USD,60005.12109375
2024-09-15,BTC-USD,59182.8359375
2024-09-16,BTC-USD,58192.5078125
2024-09-17,BTC-USD,60308.5390625
2024-09-18,BTC-USD,61649.6796875
2024-09-19,BTC-USD,62940.45703125
2024-09-20,BTC-USD,63192.9765625
2024-09-21,BTC-USD,63394.83984375
2024-09-22,BTC-USD,63648.7109375
2024-09-23,BTC-USD,63329.80078125
2024-09-24,BTC-USD,64301.96875
2024-09-25,BTC-USD,63143.14453125
2024-09-26,BTC-USD,65181.01953125
2024-09-27,BTC-USD,65790.6640625
2024-09-28,BTC-USD,65887.6484375
2024-09-29,BTC-USD,65635.3046875
2024-09-30,BTC-USD,63329.5
2024-10-01,BTC-USD,60837.0078125
2024-10-02,BTC-USD,60632.78515625
2024-10-03,BTC-USD,60759.40234375
2024-10-04,BTC-USD,62067.4765625
2024-10-05,BTC-USD,62089.94921875
